,2021/12,2021/9,2021/6,2021/3,2020/12,2020/9,2020/6,2020/3
  Maddi Olmayan Duran Varlıklar,6573315000.0,4096456000.0,4105211000.0,3923817000.0,3563944000.0,3509265000.0,3137306000.0,3923817000.0
  Müşteri Söz. Doğan Yük.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Müşteri Söz.Doğan Yük.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Müşteri Sözleşmelerinden Doğan Varlıklar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Müşteri Sözleşmelerinden Doğan Varlıklar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Müşteri Sözleşmelerinden Doğan Varlıklar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Müşteri Sözleşmelerinden Doğan Varlıklar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Nakit ve Nakit Benzerleri,16014589000.0,8340575000.0,10743491000.0,10213040000.0,12002246000.0,11540151000.0,9253158000.0,10213040000.0
  Sabit Sermaye Yatırımları,-2445100000.0,-1510587000.0,-886966000.0,-383957000.0,-1562403000.0,-933783000.0,-550018000.0,-383957000.0
  Satış Amacıyla Elde Tutulan Duran Varlıklar,0.0,0.0,0.0,0.0,0.0,128164000.0,0.0,0.0
  Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Stoklar,16828699000.0,13193737000.0,12508504000.0,10124948000.0,7095622000.0,6839220000.0,5875181000.0,10124948000.0
  Stoklar,16828699000.0,13193737000.0,12508504000.0,10124948000.0,0.0,0.0,0.0,0.0
  Stoklar,0.0,0.0,0.0,0.0,7095622000.0,6839220000.0,5875181000.0,10124948000.0
  Stoklar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Ticari Alacaklar,23411544000.0,19260942000.0,17175878000.0,15733844000.0,12149445000.0,12111167000.0,8958759000.0,15733844000.0
  Ticari Alacaklar,23411544000.0,19260942000.0,17175878000.0,15733844000.0,68225000.0,26863000.0,36768000.0,69144000.0
  Ticari Alacaklar,45865000.0,61091000.0,37831000.0,69144000.0,12149445000.0,12111167000.0,8958759000.0,15733844000.0
  Ticari Alacaklar,45865000.0,61091000.0,37831000.0,69144000.0,68225000.0,26863000.0,36768000.0,69144000.0
  Ticari Borçlar,19669031000.0,14744762000.0,14059295000.0,12144728000.0,9645202000.0,8822040000.0,5669594000.0,12144728000.0
  Ticari Borçlar,19669031000.0,14744762000.0,14059295000.0,12144728000.0,0.0,0.0,0.0,0.0
  Ticari Borçlar,0.0,0.0,0.0,0.0,9645202000.0,8822040000.0,5669594000.0,12144728000.0
  Ticari Borçlar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Yabancı Para Çevrim Farkları,11381483000.0,6483216000.0,6717803000.0,6164029000.0,5225745000.0,5277824000.0,4180626000.0,6164029000.0
  Yatırım Amaçlı Gayrimenkuller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Yatırım Faaliyetlerinden Gelirler,316840000.0,5130000.0,3423000.0,2273000.0,240668000.0,228855000.0,228244000.0,2273000.0
